ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
6077	"ENSG00000104695"	"PPP2CB"	chr8	-	30799545	30799755	30799545	30799648	30799716	30799755
6197	"ENSG00000104518"	"GSDMD"	chr8	+	143559776	143561423	143559776	143559969	143561369	143561423
6207	"ENSG00000092094"	"OSGEP"	chr14	-	20447614	20448171	20447614	20447690	20448105	20448171
6211	"ENSG00000185803"	"SLC52A2"	chr8	+	144359622	144360493	144359622	144359747	144360114	144360493
6220	"ENSG00000160948"	"VPS28"	chr8	-	144424717	144425772	144424717	144424819	144425682	144425772
6224	"ENSG00000160948"	"VPS28"	chr8	-	144424945	144426208	144424945	144425772	144426179	144426208
6226	"ENSG00000160948"	"VPS28"	chr8	-	144426025	144426983	144426025	144426063	144426908	144426983
6269	"ENSG00000213930"	"GALT"	chr9	+	34647491	34647961	34647491	34647567	34647831	34647961
6289	"ENSG00000077463"	"SIRT6"	chr19	-	4175027	4175937	4175027	4175111	4175841	4175937
6299	"ENSG00000096746"	"HNRNPH3"	chr10	+	68341173	68341851	68341173	68341309	68341758	68341851
6301	"ENSG00000215126"	"CBWD6"	chr9	-	41131355	41133570	41131355	41131840	41133504	41133570
6326	"ENSG00000130821"	"SLC6A8"	chrX	+	153693904	153694633	153693904	153694017	153694532	153694633
6352	"ENSG00000197816"	"CCDC180"	chr9	+	97370640	97374648	97370640	97370778	97374542	97374648
6379	"ENSG00000165525"	"NEMF"	chr14	-	49784924	49785320	49784924	49785004	49785219	49785320
6410	"ENSG00000130714"	"POMT1"	chr9	+	131509902	131510415	131509902	131509996	131510356	131510415
6413	"ENSG00000165699"	"TSC1"	chr9	-	132910570	132911568	132910570	132910692	132911452	132911568
6492	"ENSG00000179532"	"DNHD1"	chr11	+	6497770	6498961	6497770	6497844	6498722	6498961
6495	"ENSG00000179532"	"DNHD1"	chr11	+	6565694	6566765	6565694	6565991	6566586	6566765
6497	"ENSG00000179532"	"DNHD1"	chr11	+	6570008	6571423	6570008	6570100	6570617	6571423
6504	"ENSG00000166340"	"TPP1"	chr11	-	6615441	6616859	6615441	6615562	6616314	6616859
6509	"ENSG00000166340"	"TPP1"	chr11	-	6616974	6617776	6616974	6617153	6617625	6617776
6531	"ENSG00000103510"	"KAT8"	chr16	+	31130455	31131393	31130455	31130606	31131194	31131393
6551	"ENSG00000102904"	"TSNAXIP1"	chr16	+	67825666	67826282	67825666	67825836	67826151	67826282
6587	"ENSG00000149091"	"DGKZ"	chr11	+	46368001	46370009	46368001	46368079	46369940	46370009
6600	"ENSG00000143549"	"TPM3"	chr1	-	154170648	154172978	154170648	154170711	154172907	154172978
6604	"ENSG00000122952"	"ZWINT"	chr10	-	56359686	56360383	56359686	56359853	56360292	56360383
6615	"ENSG00000187531"	"SIRT7"	chr17	-	81914293	81915512	81914293	81914530	81915439	81915512
6626	"ENSG00000149136"	"SSRP1"	chr11	-	57332624	57333540	57332624	57332855	57333434	57333540
6643	"ENSG00000221968"	"FADS3"	chr11	-	61876358	61878215	61876358	61876963	61878154	61878215
6647	"ENSG00000172932"	"ANKRD13D"	chr11	+	67301281	67301823	67301281	67301398	67301731	67301823
6652	"ENSG00000132199"	"ENOSF1"	chr18	-	690548	691276	690548	690631	691203	691276
6653	"ENSG00000132199"	"ENOSF1"	chr18	-	690548	691276	690548	690745	691203	691276
6659	"ENSG00000255717"	"SNHG1"	chr11	-	62852810	62854551	62852810	62852839	62853800	62854551
6660	"ENSG00000255717"	"SNHG1"	chr11	-	62852810	62854551	62852810	62853115	62853800	62854551
6663	"ENSG00000255717"	"SNHG1"	chr11	-	62852810	62854551	62852810	62852839	62854017	62854551
6664	"ENSG00000255717"	"SNHG1"	chr11	-	62852810	62855216	62852810	62853590	62854017	62855216
6665	"ENSG00000255717"	"SNHG1"	chr11	-	62852810	62854551	62852810	62853115	62854518	62854551
6666	"ENSG00000255717"	"SNHG1"	chr11	-	62852810	62854551	62852810	62853590	62854518	62854551
6668	"ENSG00000255717"	"SNHG1"	chr11	-	62853800	62854551	62853800	62853849	62854518	62854551
6671	"ENSG00000255717"	"SNHG1"	chr11	-	62852810	62855216	62852810	62852839	62855132	62855216
6672	"ENSG00000255717"	"SNHG1"	chr11	-	62852810	62855216	62852810	62853115	62855132	62855216
6673	"ENSG00000255717"	"SNHG1"	chr11	-	62852810	62855216	62852810	62853590	62855132	62855216
6674	"ENSG00000255717"	"SNHG1"	chr11	-	62853551	62855216	62853551	62853833	62855132	62855216
6677	"ENSG00000255717"	"SNHG1"	chr11	-	62853800	62855837	62853800	62854064	62855423	62855837
6678	"ENSG00000255717"	"SNHG1"	chr11	-	62853800	62855837	62853800	62854551	62855423	62855837
6690	"ENSG00000149743"	"TRPT1"	chr11	-	64224284	64224717	64224284	64224341	64224653	64224717
6707	"ENSG00000168067"	"MAP4K2"	chr11	-	64791908	64792422	64791908	64792086	64792363	64792422
6734	"ENSG00000173327"	"MAP3K11"	chr11	-	65607640	65608448	65607640	65607816	65608267	65608448
6756	"ENSG00000084207"	"GSTP1"	chr11	+	67584133	67585241	67584133	67584169	67585037	67585241
6757	"ENSG00000084207"	"GSTP1"	chr11	+	67584133	67585241	67584133	67584169	67585137	67585241
6789	"ENSG00000162032"	"SPSB3"	chr16	-	1777746	1778612	1777746	1777872	1778133	1778612
6806	"ENSG00000110330"	"BIRC2"	chr11	+	102348597	102350749	102348597	102348719	102349877	102350749
6808	"ENSG00000110330"	"BIRC2"	chr11	+	102348597	102350749	102348597	102348719	102350000	102350749
6820	"ENSG00000109846"	"CRYAB"	chr11	-	111908622	111911922	111908622	111908967	111911523	111911922
6852	"ENSG00000109971"	"HSPA8"	chr11	-	123058251	123059261	123058251	123058484	123059058	123059261
6892	"ENSG00000198258"	"UBL5"	chr19	+	9828326	9828675	9828326	9828389	9828591	9828675
6909	"ENSG00000100225"	"FBXO7"	chr22	+	32487744	32493281	32487744	32487828	32493104	32493281
6913	"ENSG00000090621"	"PABPC4"	chr1	-	39560815	39562203	39560815	39561122	39562072	39562203
6957	"ENSG00000103024"	"NME3"	chr16	-	1770880	1771410	1770880	1770993	1771268	1771410
6959	"ENSG00000103024"	"NME3"	chr16	-	1770880	1771410	1770880	1770993	1771279	1771410
7003	"ENSG00000214279"	"SCART1"	chr10	+	133457278	133459326	133457278	133457575	133459020	133459326
7026	"ENSG00000151062"	"CACNA2D4"	chr12	-	1799674	1800438	1799674	1799695	1800385	1800438
7044	"ENSG00000111752"	"PHC1"	chr12	+	8932562	8933350	8932562	8932813	8933206	8933350
7077	"ENSG00000284770"	"TBCE"	chr1	+	235435744	235436608	235435744	235435840	235436543	235436608
7108	"ENSG00000135451"	"TROAP"	chr12	+	49330144	49331407	49330144	49330573	49331213	49331407
7126	"ENSG00000082898"	"XPO1"	chr2	-	61492566	61494091	61492566	61492748	61493893	61494091
7128	"ENSG00000135476"	"ESPL1"	chr12	+	53289403	53290469	53289403	53289594	53290346	53290469
7137	"ENSG00000123415"	"SMUG1"	chr12	-	54188514	54188957	54188514	54188596	54188676	54188957
7139	"ENSG00000161638"	"ITGA5"	chr12	-	54399644	54400995	54399644	54399758	54400845	54400995
7155	"ENSG00000121073"	"SLC35B1"	chr17	-	49705123	49706309	49705123	49705281	49706203	49706309
7164	"ENSG00000135473"	"PAN2"	chr12	-	56323806	56324493	56323806	56323913	56324293	56324493
7208	"ENSG00000089009"	"RPL6"	chr12	-	112406746	112408656	112406746	112406890	112408419	112408656
7210	"ENSG00000102225"	"CDK16"	chrX	+	47225964	47226703	47225964	47226027	47226582	47226703
7244	"ENSG00000089157"	"RPLP0"	chr12	-	120199309	120201110	120199309	120199485	120201082	120201110
7279	"ENSG00000055147"	"FAM114A2"	chr5	-	154038387	154038898	154038387	154038434	154038835	154038898
7280	"ENSG00000099821"	"POLRMT"	chr19	-	617569	618586	617569	617655	618487	618586
7306	"ENSG00000111684"	"LPCAT3"	chr12	-	6977366	6978507	6977366	6977525	6978340	6978507
7311	"ENSG00000148444"	"COMMD3"	chr10	+	22318805	22320306	22318805	22318862	22319938	22320306
7335	"ENSG00000148362"	"PAXX"	chr9	+	136992639	136993243	136992639	136992700	136993052	136993243
